matricula_id,aluno,responsavel,curso,turno,situacao,mensalidade,data_matricula
5001,Nathalia Kunz   ,Gabriela Fagundes,Técnico em Segurança do Trabalho,Manhã,Concluído,310.00,2026-02-03
5002,  Sabrina Brum,Marcos Carvalho,Técnico em Contabilidade,Tarde,CONCLUIDO,310.00,2025-02-20
5003,Tiago Schneider,Nathalia Machado Rocha,Técnico em Administração,Noite,EVADIDO,340.00,2026-04-23
5004,Elisa Lima,Nelson Fontoura,Técnico em Administração ,Noite,CURSANDO,330.00,2025-02-13
5005,Alexandre Brum,Leonardo Brum,Enfermagem,Noite,CONCLUIDO,490.00,2025-03-18
5006,  Aline Ribeiro,Jonas Brum,SEGURANCA DO TRABALHO,Noite,CURSANDO,290.00,2025-11-18
5007,Daniela Rossi,Aline Fagundes,Técnico em Enfermagem,Tarde,Evadido,480.00,2026-01-24
5008,Matheus Gomes,Tatiane Souza,Técnico em Enfermagem,Noite,Evadido,480.00,2025-04-28
5009,Cristiane Dutra,Renata Dutra,TECNICO EM ADMINISTRACAO ,Noite,Cursando,320.00,2025-06-15
5010,Nathalia Gomes Bortolotto,Willian Bueno Vargas,SEGURANCA DO TRABALHO,Tarde,Cursando,300.00,2025-12-11
5011,Adriana Martins,Mariana Trindade,TECNICO EM LOGISTICA ,Manhã,CONCLUIDO,330.00,2026-03-20
5012,Marcos Vargas,,Técnico em Contabilidade,Noite,Evadido,330.00,2025-02-07
5013,Camila Barcellos,Rafael Martins Costa,Técnico em Informática,Tarde,Concluído,390.00,2025-10-23
5014,Everton Santos,Lucas Silva,Técnico em Administração,Manhã,Cursando,300.00,2025-08-09
5015,Everton Trindade,Bruno Oliveira Dutra,Técnico em Segurança do Trabalho,Tarde,Cursando,300.00,2026-07-10
5016,Cristiane Ferreira,Douglas Nunes,Técnico em Segurança do Trabalho,Manhã,CURSANDO,280.00,2025-12-01
5017,Matheus Gomes,Tatiane Souza,Técnico em Enfermagem,Noite,Evadido,480.00,2025-04-28
5018,Lucas Sartori,Tiago Dutra Brum,Enfermagem ,Manhã,Cursando,470.00,2025-12-06
5019,Adriana Barcellos Rocha   ,Douglas Lima Sartori,Técnico em Estética,Noite,Concluído,410.00,2025-08-04
5020,Nathalia Rocha,Vanessa Costa,Técnico em Administração,Noite,Evadido,320.00,2026-05-12
5021,Jonas Martins,Gabriela Kunz,TECNICO EM INFORMATICA,Noite,CURSANDO,410.00,2025-06-29
5022,Andre Zanella,Camila Beltrame,Técnico em Logística,Manhã,CONCLUIDO,330.00,2025-08-26
5023,Alexandre Dutra,Aline Vargas,Técnico em Logística,Noite,Concluído,320.00,2025-07-30
5024,Felipe Oliveira,Fernanda Bortolotto Rodrigues,Técnico em Administração,Noite,Concluído,340.00,2025-11-29
5025,Adriana Lima,Aline Fagundes,Técnico em Administração,Noite,CURSANDO,330.00,2025-10-21
5026,Nelson Dutra,Gustavo Costa,Enfermagem,Noite,CONCLUIDO,480.00,2025-04-16
5027,Andre Souza Beltrame,Gustavo Ribeiro,TECNICO EM CONTABILIDADE,Manhã,Cursando,310.00,2025-11-10
5028,Matheus Rodrigues Rocha,Carla Souza,Técnico em Logística,Tarde,Concluído,320.00,2025-11-16
5029,Eduardo Ribeiro Machado,Cristiane Nunes Sartori,TECNICO EM INFORMATICA,Tarde,Cursando,390.00,2026-07-16
5030,Vinicius Feltrin,Rosane Kunz Menezes,Técnico em Estética,Noite,Concluído,440.00,2025-12-24
5031,Cesar Rodrigues,Pedro Beltrame Cardoso,TECNICO EM ADMINISTRACAO,Manhã,Cursando,320.00,2025-03-17
5032,Ana Carvalho,,Técnico em Segurança do Trabalho,Tarde,Concluído,300.00,2026-03-02
5033,Tatiane Rodrigues Dutra,,TECNICO EM LOGISTICA,Manhã,Evadido,330.00,2025-08-14
5034,Bruno Gomes Marques,Pedro Schneider,Técnico em Informática,Manhã,Evadido,390.00,2025-10-03
5035,Willian Rocha,Jessica Bortolotto,Técnico em Administração,Tarde,EVADIDO,310.00,2025-03-16
5036,Rodrigo Rocha,Otavio Bueno,Técnico em Segurança do Trabalho,Manhã,Concluído,320.00,2025-05-25
5037,  Mariana Gomes,Vinicius Sartori,TECNICO EM CONTABILIDADE,Manhã,Cursando,330.00,2025-09-24
5038,Maria Trindade Oliveira,Alexandre Feltrin,Técnico em Segurança do Trabalho,Manhã,Cursando,300.00,2025-11-08
5039,Sabrina Zanella Kunz,Jessica Trindade,Técnico em Administração,Tarde,Evadido,310.00,2025-03-07
5040,Daniela Schneider Vargas,Mariana Fagundes,Técnico em Administração,Noite,Cursando,320.00,2025-12-07
5041,Aline Feltrin Santos   ,Ana Silva,Técnico em Administração,Tarde,CURSANDO,310.00,2026-06-25
5042,Luciana Marques,Nelson Almeida Rocha,Técnico em Segurança do Trabalho ,Manhã,Cursando,280.00,2026-07-04
5043,Gabriela Ribeiro,Luciana Ferreira Gomes,TECNICO EM ESTETICA,Noite,Cursando,420.00,2025-02-05
5044,Paulo Almeida Kunz,Jessica Vargas,Técnico em Segurança do Trabalho,Noite,Concluído,300.00,2025-04-22
5045,Patricia Pilla Pilla,Thiago Marques,Técnico em Logística,Tarde,Concluído,350.00,2025-07-25
5046,Otavio Ferreira   ,Amanda Bueno Fontoura,Técnico em Administração,Manhã,Concluído,330.00,2026-02-03
5047,Sergio Vargas Marques,Diego Oliveira Rocha,Técnico em Estética,Manhã,Evadido,400.00,2026-01-16
5048,Douglas Kunz,Ricardo Carvalho Menezes,TECNICO EM ADMINISTRACAO,Tarde,Evadido,330.00,2025-07-10
5049,Fernanda Marques Ribeiro,Leticia Fontoura Brum,TECNICO EM LOGISTICA,Manhã,CONCLUIDO,340.00,2025-09-11
5050,Eduarda Rocha,Patricia Silva Silva,TECNICO EM ENFERMAGEM ,Noite,Concluído,480.00,2025-06-06
5051,Bruna Beltrame,Sergio Ribeiro,Técnico em Administração,Noite,Concluído,300.00,2026-01-02
5052,Rafael Schneider,Daniela Brum,Técnico em Estética,Noite,Evadido,430.00,2026-06-02
5053,Otavio Santos,Priscila Santos Martins,Técnico em Estética,Noite,EVADIDO,430.00,2025-10-18
5054,Willian Oliveira Lima,Lucas Ribeiro,Técnico em Logística,Tarde,CURSANDO,320.00,2025-08-09
5055,Cristiane Santos Machado,Lucas Gomes Moraes,Técnico em Administração,Noite,Evadido,340.00,2026-03-21
5056,Bianca Ribeiro,,Técnico em Segurança do Trabalho,Noite,CONCLUIDO,310.00,2025-06-07
5057,Carla Dutra Weber,Juliana Oliveira Ribeiro,Técnico em Administração,Noite,Cursando,320.00,2026-06-02
5058,Priscila Pereira Oliveira,Bruno Silva Pilla,Técnico em Segurança do Trabalho,Manhã,Cursando,310.00,2025-11-07
5059,Carla Feltrin,Larissa Bueno,TECNICO EM LOGISTICA,Manhã,Cursando,310.00,2026-03-01
5060,Cristiane Fontoura,Amanda Kunz Feltrin,Técnico em Contabilidade,Manhã,EVADIDO,310.00,2025-07-19
5061,Gustavo Barcellos Rocha,Cesar Zanella,Técnico em Enfermagem,Noite,CONCLUIDO,470.00,2025-07-07
5062,Aline Ribeiro,Jonas Brum,SEGURANCA DO TRABALHO,Noite,CURSANDO,290.00,2025-11-18
5063,Daniela Silva Trindade,Camila Sartori,TECNICO EM CONTABILIDADE,Manhã,Evadido,330.00,2026-01-02
5064,Juliana Zanella Machado,Vinicius Pilla Marques,Técnico em Estética,Noite,CURSANDO,420.00,2026-03-11
5065,Camila Ribeiro,Ana Souza,TECNICO EM INFORMATICA,Tarde,CURSANDO,390.00,2026-03-20
5066,Douglas Trindade,Juliana Ferreira,Técnico em Administração,Tarde,Cursando,340.00,2025-02-25
5067,  Rafael Fagundes,Leonardo Weber,Técnico em Segurança do Trabalho,Tarde,Cursando,280.00,2026-01-26
5068,Vinicius Zanella,Rosane Zanella,Técnico em Segurança do Trabalho,Noite,EVADIDO,300.00,2025-02-11
5069,Fernanda Goulart Ribeiro,Gabriela Costa Cardoso,Técnico em Segurança do Trabalho,Noite,Evadido,300.00,2025-10-19
