registro_id,colaborador,setor,cargo,admissao,desligamento,motivo_saida,faltas_ano,dias_trabalhados
7001,Rodrigo Zanella,PRODUCAO,Técnico,2020-04-30,,,10,187
7002,Fabio Weber,Produção,Técnico,2019-10-29,,,4,211
7003,Patricia Bueno,Administrativo,Analista,2024-03-24,,,3,209
7004,Joao Sartori,PRODUCAO,Operador,2020-03-19,,,9,212
7005,Bruno Schneider Menezes,Produção,Operador,2024-05-01,,,11,180
7006,Bruna Ferreira,Produção,Técnico,2022-10-17,,,10,217
7007,Aline Nunes,ADMINISTRATIVO,Analista,2024-09-11,,,1,211
7008,Elisa Vargas Costa,Produção,Operador,2021-07-05,,,2,198
7009,Simone Sartori,QUALIDADE,Operador,2020-12-21,,,,204
7010,Vanessa Lima,Administrativo,Auxiliar,2025-10-02,,,3,187
7011,Simone Lima,PRODUCAO,Técnico,2020-05-15,,,,214
7012,Gustavo Gomes,Comercial,Analista,2024-11-23,,,4,192
7013,Eduarda Souza,Manutenção,Analista,2023-10-29,,,14,196
7014,Eduarda Nunes,Produção,Operador,2022-10-22,2024-07-24,Pedido de demissão,5,201
7015,Douglas Brum,LOGISTICA,Analista,2022-08-03,,,9,212
7016,Vinicius Schneider,PRODUCAO,Técnico,2023-08-24,,,10,214
7017,Ricardo Rodrigues,Logística,Supervisor,2020-07-29,,,12,187
7018,Priscila Machado,Produção,Técnico,2024-01-22,,,5,210
7019,Sabrina Rodrigues,Produção,Técnico,2020-10-25,,,10,208
7020,Nathalia Silva,LOGISTICA,Auxiliar,2019-09-21,,,6,185
7021,Eduardo Cardoso,Manut.,Técnico,2022-06-25,,,23,199
7022,Maria Oliveira Cardoso,Manutenção,Técnico,2019-03-08,2024-11-08,Pedido de demissão,18,211
7023,Alexandre Sartori,LOGISTICA,Auxiliar,2020-09-16,,,8,189
7024,Matheus Ferreira,Produção,Analista,2019-08-19,2025-12-03,Aposentadoria,13,203
7025,Maria Oliveira,Manut.,Operador,2022-12-20,,,,199
7026,Juliana Cardoso,Comercial,Auxiliar,2024-10-02,,,2,209
7027,Aline Zanella,Qualidade,Operador,2022-08-30,,,4,204
7028,Matheus Cardoso,Qualidade,Analista,2024-02-10,,,3,218
7029,Jessica Kunz,Administrativo,Operador,2022-02-13,,,3,209
7030,Tatiane Bueno,PRODUCAO,Supervisor,2024-02-12,,,13,196
7031,Daniela Bueno Schneider,Produção,Analista,2023-10-29,,,7,196
7032,Patricia Ferreira Menezes,MANUTENCAO,Operador,2024-06-02,,,12,216
7033,Eduarda Schneider,Comercial,Supervisor,2022-09-01,,,5,187
7034,Renata Martins,MANUTENCAO,Auxiliar,2025-09-19,,,13,208
7035,Patricia Fontoura,Produção ,Auxiliar,2022-06-05,,,4,182
7036,Alexandre Fagundes,Logística,Operador,2024-10-17,,,7,203
7037,Bruno Almeida Menezes,ADMINISTRATIVO,Técnico,2019-05-02,2020-04-05,Pedido de demissão,3,180
7038,Rosane Schneider,MANUTENCAO,Operador,2025-05-25,,,1000,194
7039,Marcos Oliveira Souza,Administrativo,Operador,2023-10-26,,,5,194
7040,Douglas Santos,LOGISTICA,Auxiliar,2019-01-23,2022-12-16,FIM DE CONTRATO,7,199
7041,Fernanda Sartori Trindade,MANUTENCAO,Operador,2025-11-21,,,10,196
7042,Andre Kunz Silva,Logística,Operador,2019-02-03,,,0,216
7043,Camila Pereira Costa,Qualidade,Analista,2025-02-28,,,2,190
7044,Adriana Fagundes Gomes,Qualidade ,Auxiliar,2021-06-25,,,5,215
7045,Cristiane Silva,Manut.,Supervisor,2022-05-21,,,1,204
7046,Cesar Trindade,QUALIDADE,Técnico,2019-09-28,2021-11-16,Fim de contrato,4,220
7047,Aline Martins,Produção,Auxiliar,2025-05-14,,,4,182
7048,Tatiane Bueno,Qualidade,Analista,2019-01-21,,,6,181
7049,Vanessa Lima,MANUTENCAO,Operador,2022-04-06,,,9,213
7050,Carla Feltrin Pilla,MANUTENCAO,Analista,2024-04-09,2024-09-15,FIM DE CONTRATO,13,188
7051,Maicon Zanella,Logística,Supervisor,2022-02-18,,,10,202
7052,Leticia Souza,ADMINISTRATIVO,Analista,2022-11-19,,,,216
7053,Bruna Brum,Manutenção,Analista,2022-10-18,,,2,192
7054,Ricardo Gomes,MANUTENCAO,Operador,2020-01-19,,,10,199
7055,Fernanda Fontoura Oliveira,Logística,Técnico,2019-09-03,2020-10-23,Aposentadoria,6,218
7056,Tiago Gomes,ADMINISTRATIVO,Auxiliar,2021-04-06,,,4,186
7057,Aline Sartori,Administrativo,Analista,2022-06-04,2023-12-19,PEDIDO DE DEMISSAO,2,204
7058,Gabriela Lima,Qualidade,Operador,2022-04-23,,,2,197
7059,Bruna Beltrame Schneider,COMERCIAL,Operador,2019-07-17,2020-04-19,Pedido de demissão,4,220
7060,Fabio Bueno Dutra,PRODUCAO,Operador,2024-05-02,,,9,195
7061,Adriana Machado,Logística,Analista,2019-08-01,,,4,205
7062,Elisa Barcellos Pereira,Produção,Auxiliar,2022-06-12,2024-07-11,DEMISSAO SEM JUSTA CAUSA,7,206
7063,Jessica Zanella Trindade,PRODUCAO,Operador,2023-03-05,,,10,218
7064,Diego Cardoso Trindade,Qualidade,Analista,2024-02-19,,,5,191
7065,Gustavo Ferreira,Manut.,Técnico,2021-07-30,,,,181
7066,Andre Souza,Manutenção,Técnico,2023-12-25,,,12,208
7067,Paulo Ribeiro Rocha,Produção,Operador,2021-06-12,,,2,215
7068,Luciana Moraes,QUALIDADE,Analista,2021-02-17,,,4,196
7069,Lucas Cardoso Feltrin,MANUTENCAO,Operador,2019-10-05,,,16,213
7070,Ricardo Brum,Produção,Operador,2021-02-27,,,2,188
7071,Vanessa Almeida Almeida,Produção,Auxiliar,2020-09-28,,,13,206
7072,Douglas Brum,Logística,Operador,2024-04-08,,,10,209
7073,Mariana Costa Pereira,Produção,Analista,2023-11-16,,,7,195
7074,Eduarda Cardoso Trindade,Logística,Analista,2021-05-10,,,8,198
7075,Elisa Lima Fontoura,MANUTENCAO,Operador,2023-12-20,2025-04-02,Demissão sem justa causa,10,212
7076,Larissa Ferreira Nunes,Administrativo,Auxiliar,2024-07-28,2025-06-14,Fim de contrato,4,194
7077,Luciana Machado,PRODUCAO,Analista,2023-02-23,,,7,195
7078,Andre Lima,LOGISTICA,Auxiliar,2021-02-01,,,12,211
7079,Nathalia Vargas Fagundes,Logística,Operador,2019-03-02,2026-05-13,PEDIDO DE DEMISSAO,13,196
7080,Carla Moraes,Administrativo,Operador,2022-02-01,2025-05-04,Pedido de demissão,1,187
7081,Elisa Moraes Silva,Qualidade,Operador,2021-04-08,,,3,216
7082,Tatiane Pereira Bortolotto,MANUTENCAO,Supervisor,2023-01-04,,,365,186
7083,Renata Rocha Dutra,Qualidade,Supervisor,2020-08-27,2024-11-01,Demissão sem justa causa,,180
7084,Pedro Martins Souza,Produção,Técnico,2024-12-27,2026-01-27,FIM DE CONTRATO,12,213
7085,Cesar Nunes Bortolotto,MANUTENCAO,Técnico,2021-12-28,,,365,180
7086,Maicon Rodrigues,Produção,Operador,2022-08-03,,,7,192
7087,Juliana Souza Fagundes,Qualidade,Técnico,2025-05-05,2026-01-08,Fim de contrato,6,181
7088,Adriana Pereira Oliveira,Administrativo,Operador,2022-12-16,,,-3,201
7089,Matheus Rossi Rodrigues,Produção,Operador,2023-05-09,,,8,197
7090,Daniela Goulart,Manutenção,Operador,2023-12-09,2025-07-05,Demissão sem justa causa,11,197
7091,Renata Beltrame,Produção,Técnico,2025-04-12,,,12,213
7092,Paulo Vargas Rodrigues,Logística ,Operador,2022-12-06,,,7,215
7093,Maria Schneider,Qualidade,Analista,2019-03-23,,,3,200
7094,Simone Bortolotto Bueno,COMERCIAL,Técnico,2024-06-20,,,2,192
7095,Elisa Souza,PRODUCAO,Operador,2021-05-31,,,5,214
7096,Sabrina Barcellos,Produção,Supervisor,2024-05-16,2026-05-15,PEDIDO DE DEMISSAO,9,200
7097,Jonas Rodrigues Cardoso,Produção ,Operador,2022-01-27,2024-04-28,Demissão sem justa causa,,193
7098,Douglas Bortolotto,QUALIDADE,Supervisor,2025-11-02,,,5,194
7099,Gabriela Moraes,PRODUCAO,Operador,2025-11-23,,,6,211
7100,Douglas Beltrame Oliveira,COMERCIAL ,Técnico,2021-12-23,,,3,214
7101,Camila Brum,Qualidade ,Técnico,2019-05-07,,,5,214
7102,Bruna Martins,Produção,Técnico,2021-05-17,,,14,216
7103,Rodrigo Schneider Feltrin,Produção,Operador,2025-02-28,,,9,191
7104,Camila Sartori,Produção,Operador,2026-01-14,,,0,196
7105,Bruno Barcellos Machado,Administrativo,Técnico,2025-11-30,,,3,205
7106,Tiago Feltrin Almeida,Manutenção,Técnico,2019-06-13,,,18,199
7107,Sergio Fontoura,Produção,Auxiliar,2024-08-27,2026-03-26,Fim de contrato,6,213
7108,Everton Barcellos Trindade,Qualidade,Auxiliar,2021-11-10,2022-11-29,PEDIDO DE DEMISSAO,4,214
7109,Matheus Machado Menezes,ADMINISTRATIVO,Operador,2019-09-21,,,6,207
7110,Luciana Beltrame Moraes,QUALIDADE,Técnico,2022-02-24,2023-09-30,Fim de contrato,3,192
7111,Cristiane Carvalho,Administrativo,Operador,2024-07-20,2025-03-30,Demissão sem justa causa,4,190
7112,Amanda Pereira,LOGISTICA,Operador,2022-05-29,,,6,191
7113,Patricia Pilla,PRODUCAO,Operador,2025-12-03,,,4,207
7114,Nathalia Oliveira,Administrativo,Analista,2020-03-25,2023-06-03,PEDIDO DE DEMISSAO,6,199
7115,Everton Oliveira,Produção ,Operador,2020-08-05,,,10,202
7116,Nelson Fontoura Fontoura,Manut.,Operador,2023-09-20,,,26,200
7117,Douglas Souza,COMERCIAL,Supervisor,2019-07-12,,,4,195
7118,Jessica Carvalho,Produção,Técnico,2021-02-25,,,6,185
7119,Gabriela Martins,LOGISTICA,Supervisor,2020-09-28,2021-03-27,Fim de contrato,7,205
7120,Lucas Ribeiro,Manutenção ,Operador,2024-05-10,2025-01-02,Aposentadoria,0,182
7121,Lucas Fontoura,Produção,Operador,2025-03-10,,,5,186
7122,Vinicius Brum,Produção,Operador,2019-02-08,2025-07-14,Demissão sem justa causa,11,189
7123,Paulo Rossi Lima,COMERCIAL,Auxiliar,2022-05-19,,,3,215
7124,Renata Almeida,LOGISTICA,Operador,2025-04-11,,,2,210
7125,Ana Cardoso,Produção,Supervisor,2021-05-09,2024-07-23,Fim de contrato,11,200
7126,Leonardo Oliveira,MANUTENCAO,Auxiliar,2024-05-07,,,10,182
7127,Fabio Feltrin,Logística,Operador,2025-11-27,,,4,195
7128,Leonardo Barcellos Brum,MANUTENCAO,Técnico,2022-07-08,,,21,192
7129,Gabriela Machado Rocha,Comercial,Técnico,2023-09-16,,,2,207
7130,Felipe Santos,Manutenção,Técnico,2022-02-09,,,14,184
7131,Rafael Rodrigues,PRODUCAO,Analista,2025-04-11,2025-11-25,Demissão sem justa causa,9,190
7132,Eduarda Bortolotto Lima,Produção,Analista,2022-10-24,,,7,202
7133,Jessica Trindade,Produção,Analista,2021-09-23,,,3,213
7134,Jonas Souza,Produção,Técnico,2025-09-08,2026-05-04,Demissão sem justa causa,9,191
7135,Daniela Santos,MANUTENCAO ,Técnico,2024-09-11,,,13,216
