pedido_id,data,cliente,cidade,vendedor,categoria,produto,quantidade,valor_unitario,frete,canal,status
90001,2026-04-22,Luciana Beltrame Carvalho,Cachoeira do Sul,Cleber Antunes,Jardinagem,Item 210,2,"R$ 56,98","R$ 56,02",WhatsApp,Faturado
90002,2026-07-30,Gustavo Zanella Vargas,Santa Maria,Rosane Pilla,Jardinagem,Item 204,3,"R$ 67,81","R$ 29,47",WhatsApp,Faturado
90003,2026-05-18,Vanessa Ribeiro,São Sepé,Ivan Bortolotto,HIDRAULICA,Item 205,2,"R$ 108,13","R$ 50,61",Telefone,Faturado
90004,2026-02-11,Fernanda Brum,Santa Maria,Cleber Antunes,Hidráulica,Item 202,3,"R$ 100,66","R$ 0,00",Loja física,Faturado
90005,2026-08-05,Fabio Vargas Pilla,Restinga Sêca,Ivan Bortolotto,Ferramentas,Item 199,2,"R$ 167,38","R$ 33,26",WhatsApp,Faturado
90006,2026-03-20,Maria Oliveira,Restinga Sêca,Ivan Bortolotto,CONSTRUCAO,Item 159,4,"R$ 150,26","R$ 0,00",Loja física,Faturado
90007,2026-06-05,Renata Fontoura,São Sepé,Rosane Pilla,Construção,Item 224,2,"R$ 327,67","R$ 31,40",WhatsApp,Faturado
90008,2026-03-13,Larissa Souza,Júlio de Castilhos,Rosane Pilla,Elétrica,Item 216,3,"R$ 108,65","R$ 46,78",WhatsApp,Faturado
90009,2026-07-21,Simone Dutra Almeida,Santa Maria,Sergio Weber,JARDINAGEM,Item 133,5,"R$ 110,41","R$ 28,01",WhatsApp,Faturado
90010,2026-06-18,Cesar Ferreira,Júlio de Castilhos,Marta Dutra,Tintas,Item 245,3,"R$ 201,74","R$ 0,00",Loja física,Faturado
90011,2026-06-24,Everton Menezes,Restinga Sêca,Cleber Antunes,CONSTRUCAO,Item 292,1,"R$ 385,02","R$ 0,00",Loja física,Faturado
90012,2026-08-10,Gabriela Pilla,Santa Maria,Rosane Pilla,Jardinagem,Item 297,1,"R$ 99,41","R$ 0,00",Loja física,Faturado
90013,2026-01-16,Camila Machado Zanella,Júlio de Castilhos,Sergio Weber,Jardinagem,Item 215,2,"R$ 130,41","R$ 0,00",Loja física,Faturado
90014,2026-05-25,Vinicius Rossi,Cachoeira do Sul,Cleber Antunes,FERRAMENTAS,Item 348,3,"R$ 144,55","R$ 49,52",Site,Cancelado
90015,2026-08-03,Andre Lima,Santa Maria,Cleber Antunes,Hidráulica,Item 204,2,"R$ 122,78","R$ 34,78",WhatsApp,Faturado
90016,2026-02-03,Tatiane Menezes,Júlio de Castilhos,Ivan Bortolotto,Hidráulica,Item 324,1,"R$ 116,22","R$ 44,60",Telefone,Faturado
90017,2026-05-15,Vinicius Pilla Zanella,Santa Maria,Rosane Pilla,TINTAS,Item 131,5,"R$ 277,39","R$ 19,94",Telefone,Faturado
90018,2026-05-20,Rosane Vargas,Santa Maria,Ivan Bortolotto,Tintas,Item 258,4,"R$ 184,55","R$ 0,00",Loja física,Faturado
90019,2026-08-25,Cesar Almeida Machado,São Sepé,Cleber Antunes,Construção,Item 316,4,"R$ 234,22","R$ 25,03",Site,Faturado
90020,2026-04-09,Patricia Lima,Santa Maria,Rosane Pilla,FERRAMENTAS,Item 239,1,"R$ 112,09","R$ 0,00",Loja física,Cancelado
90021,2026-05-13,Eduarda Pilla Gomes,Santa Maria,Cleber Antunes,Tintas,Item 156,2,"R$ 316,23","R$ 57,95",WhatsApp,Cancelado
90022,2026-07-08,Otavio Rossi,São Sepé,Rosane Pilla,Ferramentas,Item 100,2,"R$ 91,02","R$ 0,00",Loja física,Faturado
90023,2026-05-27,Tatiane Silva,São Sepé,Ivan Bortolotto,Ferramentas,Item 123,4,"R$ 221,13","R$ 0,00",Loja física,Faturado
90024,2026-04-22,Bianca Rossi,Santa Maria,Cleber Antunes,ELETRICA,Item 267,3,"R$ 107,88","R$ 0,00",Loja física,Faturado
90025,2026-01-23,Joao Martins,Santa Maria,Rosane Pilla,Jardinagem,Item 278,4,"R$ 121,15","R$ 34,36",Site,Faturado
90026,2026-04-02,Priscila Souza,São Sepé,Sergio Weber,Ferramentas,Item 149,1,"R$ 138,47","R$ 0,00",Loja física,Faturado
90027,2026-05-14,Gustavo Bueno,Santa Maria,Cleber Antunes,Jardinagem,Item 102,1,"R$ 78,08","R$ 0,00",Loja física,Faturado
90028,2026-08-04,Paulo Martins,São Sepé,Rosane Pilla,Elétrica,Item 133,3,"R$ 101,53","R$ 0,00",Loja física,Faturado
90029,2026-02-13,Mariana Nunes,São Sepé,Sergio Weber,CONSTRUCAO,Item 197,1,"R$ 242,29","R$ 20,06",WhatsApp,Faturado
90030,2026-02-20,Adriana Cardoso,Santa Maria,Marta Dutra,Jardinagem,Item 180,1,"R$ 58,28","R$ 22,26",WhatsApp,Faturado
90031,2026-07-23,Rafael Dutra,Júlio de Castilhos,Cleber Antunes,Ferramentas,Item 255,2,a combinar,"R$ 35,19",WhatsApp,Faturado
90032,2026-02-18,Adriana Souza,Santa Maria,Rosane Pilla,Jardinagem,Item 350,5,"R$ 113,87","R$ 18,26",WhatsApp,Faturado
90033,2026-03-03,Nelson Almeida,Júlio de Castilhos,Cleber Antunes,Ferramentas,Item 318,1,"R$ 152,74","R$ 62,89",WhatsApp,Faturado
90034,2026-03-24,Juliana Vargas,Santa Maria,Rosane Pilla,TINTAS,Item 123,1,"R$ 228,19","R$ 0,00",Loja física,Faturado
90035,2026-02-24,Marcos Pereira,Santa Maria,Rosane Pilla,Elétrica,Item 118,4,"R$ 97,42","R$ 46,77",Telefone,Faturado
90036,2026-02-13,Amanda Feltrin Zanella,Santa Maria,Marta Dutra,TINTAS,Item 343,1,"R$ 115,91","R$ 49,95",Site,Faturado
90037,2026-05-28,Leticia Lima,Santa Maria,Marta Dutra,HIDRAULICA,Item 346,8,"R$ 47,09","R$ 25,59",Telefone,Faturado
90038,2026-04-24,Paulo Brum,São Sepé,Rosane Pilla,Hidráulica,Item 226,4,"R$ 105,75","R$ 62,72",WhatsApp,Faturado
90039,2026-03-16,Mariana Almeida,Restinga Sêca,Cleber Antunes,TINTAS,Item 195,2,"R$ 246,47","R$ 0,00",Loja física,Faturado
90040,2026-06-18,Ana Lima,Santa Maria,Cleber Antunes,CONSTRUCAO,Item 342,4,"R$ 249,16","R$ 27,37",WhatsApp,Faturado
90041,2026-07-21,Nelson Nunes Weber,Júlio de Castilhos,Marta Dutra,Tintas,Item 147,3,"R$ 172,39","R$ 56,03",Site,Faturado
90042,2026-03-10,Fernanda Kunz,Restinga Sêca,Marta Dutra,Elétrica,Item 296,1,"R$ 104,92","R$ 0,00",Loja física,Faturado
90043,2026-08-19,Everton Bueno,Santa Maria,Cleber Antunes,ELETRICA,Item 199,7,"R$ 81,30","R$ 0,00",Loja física,Faturado
90044,2026-06-03,Renata Rocha,São Sepé,Sergio Weber,Elétrica,Item 224,0,"R$ 47,26","R$ 49,55",Telefone,Faturado
